2,3
3,3
5,3
8,10
11,1
12,3
13,1
16,1
17,10
18,10
19,10
20,9
21,1
22,1
24,3
29,3
31,3
32,3
35,1
36,1
37,9
40,9
47,1
48,1
50,10
51,10
53,10
56,3
58,1
59,1
63,10
67,3
68,3
84,1
87,1
90,3
91,1
95,10
96,1
97,9
98,1
99,24
103,1
107,1
111,9
114,1
116,10
122,3
124,1
125,1
127,3
131,3
133,3
135,1
137,1
138,1
139,1
141,1
142,1
145,1
146,3
147,1
148,3
152,1
154,1
155,1
156,1
157,1
158,3
160,3
161,3
162,1
167,1
171,1
178,3
180,3
182,3
184,3
190,1
192,9
193,8
194,1
204,1
206,1
208,1
210,1
211,1
216,1
218,3
223,10
225,3
240,23
241,1
243,1
244,1
245,1
247,1
248,1
250,1
252,1
253,1
254,1
255,1
257,1
264,1
269,3
270,1
272,1
273,1
275,1
277,1
279,1
280,3
282,1
283,1
288,1
289,1
290,3
291,23
294,8
296,8
299,1
300,1
302,1
304,1
305,1
307,1
311,23
312,1
313,3
314,1
315,23
317,1
319,1
320,23
324,1
325,1
326,3
332,1
334,1
339,1
341,3
343,3
344,3
351,3
352,3
354,3
359,3
363,1
365,1
369,1
376,1
380,3
381,3
383,2
384,1
385,1
387,1
389,1
390,1
392,3
393,1
395,1
397,1
398,1
403,3
405,3
406,3
408,3
410,3
412,1
418,1
426,1
428,1
431,9
434,1
445,7
448,1
451,9
452,1
453,4
454,3
456,7
459,9
460,10
461,9
462,1
464,9
465,9
467,1
470,1
471,1
474,1
476,1
482,3
484,10
485,1
486,9
489,23
491,23
492,3
493,23
496,1
497,3
498,1
499,1
501,3
502,3
505,3
506,10
507,1
508,1
515,3
517,1
521,1
522,23
524,1
526,1
527,1
530,1
531,1
533,1
534,1
535,1
537,1
538,1
545,3
549,3
552,2
553,1
556,9
558,23
560,23
563,1
565,1
567,9
569,1
570,1
575,1
589,3
590,1
606,1
619,10
623,1
632,9
634,9
635,1
639,9
641,9
643,10
652,3
656,3
657,4
658,3
659,3
664,23
667,1
673,1
684,1
686,3
687,3
690,3
692,1
695,15
697,15
699,24
702,1
704,2
705,3
709,1
710,10
714,1
715,1
716,1
719,1
722,10
725,1
726,10
727,1
728,1
731,1
732,1
733,10
736,9
739,2
741,10
745,10
748,11
750,23
753,10
757,1
763,2
766,23
768,23
774,9
776,3
779,23
782,1
785,1
797,11
798,1
801,2
802,10
803,10
804,1
805,1
811,1
813,3
816,1
823,2
824,2
827,1
829,1
833,23
834,1
842,3
845,9
847,23
850,3
851,3
852,3
855,9
856,9
862,10
872,1
874,2
875,3
878,9
881,1
883,2
884,9
887,3
888,1
889,3
890,3
894,1
896,23
897,1
898,23
899,23
907,1
910,2
912,1
913,1
914,1
917,2
918,3
925,1
926,23
927,1
928,2
930,1
931,23
934,2
939,10
940,3
941,2
942,1
946,9
954,9
957,9
958,9
959,9
962,1
965,1
968,2
974,10
975,3
978,3
979,9
982,1
983,2
986,1
989,1
994,1
997,10
999,10
1001,9
1004,9
1005,9
1007,9
1008,3
1009,3
1011,3
1014,1
1016,2
1017,2
1018,2
1019,3
1020,2
1022,1
1025,9
1028,10
1031,2
1037,3
1038,2
1040,2
1041,2
1042,2
1048,3
1049,3
1050,3
1051,3
1053,3
1054,2
1056,1
1058,3
1059,10
1075,3
1076,1
1077,3
1078,1
1079,1
1080,1
1082,3
1085,24
1093,23
1094,3
1097,3
1102,9
1108,10
1110,10
1112,24
1118,11
1121,1
1125,10
1127,9
1132,9
1134,1
1138,2
1140,9
1141,3
1145,2
1147,1
1149,1
1157,2
1160,1
1162,1
1164,3
1167,3
1169,2
1170,1
1171,3
1173,10
1174,3
1175,2
1177,3
1178,9
1180,10
1182,2
1183,2
1184,10
1186,10
1187,2
1189,1
1192,3
1194,2
1197,10
1199,10
1200,3
1201,9
1202,3
1204,2
1209,10
1214,9
1215,24
1218,1
1221,1
1222,1
1223,1
1226,10
1231,2
1234,3
1237,1
1238,1
1239,1
1241,3
1243,3
1245,1
1246,24
1247,3
1249,24
1251,10
1252,3
1257,2
1258,10
1263,2
1264,1
1265,3
1273,3
1277,3
1283,3
1286,1
1288,3
1290,3
1296,1
1297,3
1298,1
1300,23
1303,1
1304,23
1309,1
1310,11
1311,1
1313,1
1316,10
1318,9
1320,10
1328,10
1330,3
1332,3
1335,3
1336,3
1337,1
1338,3
1339,3
1342,19
1346,2
1347,3
1352,10
1353,10
1357,10
1358,2
1362,3
1363,1
1364,3
1366,9
1368,10
1369,9
1370,10
1371,1
1378,3
1380,2
1388,1
1392,1
1396,1
1400,2
1407,23
1413,24
1415,1
1420,2
1422,2
1425,2
1426,1
1428,1
1431,1
1432,10
1434,3
1435,3
1436,1
1438,3
1443,1
1445,24
1450,24
1454,10
